SOC,voltage
0.0,3.0
1.0,3.118572556050076
2.0,3.20372531752655
3.0,3.270401805741248
4.0,3.324978362825039
5.0,3.3696743447575037
6.0,3.4027545806699417
7.000000000000001,3.4275341251327553
8.0,3.4428476633961185
9.0,3.452059773823818
10.0,3.458815211041822
11.0,3.4643870189421597
12.0,3.4693352241367195
13.0,3.473915251743581
14.000000000000002,3.478411707464244
15.0,3.4833428783086893
16.0,3.4892657098954953
17.0,3.4972056730076084
18.0,3.507140601483136
19.0,3.516855924370483
20.0,3.526157248199649
21.0,3.534951215865643
22.0,3.543081262557025
23.0,3.5504905325724083
24.0,3.5572856369628165
25.0,3.5636227144365433
26.0,3.5695838781257887
27.0,3.575196921311029
28.000000000000004,3.580539986069976
28.999999999999996,3.5856460704849997
30.0,3.590518966998474
31.0,3.595169658874717
32.0,3.599593539210793
33.0,3.603835354378897
34.0,3.6078942653088446
35.0,3.611835871596672
36.0,3.615643190245252
37.0,3.619479537037208
38.0,3.623207453435031
39.0,3.6269686646780905
40.0,3.6307873638706933
41.0,3.6346117077209543
42.0,3.6385543850194915
43.0,3.642586634223873
44.0,3.6467499701710318
45.0,3.6510640121549587
46.0,3.65555837423039
47.0,3.660261906788884
48.0,3.6651714847803456
49.0,3.6703780655729505
50.0,3.6758529671158504
51.0,3.681650670764699
52.0,3.6877889858960162
53.0,3.6943852859401245
54.0,3.7013710972842855
55.00000000000001,3.708700263714941
56.00000000000001,3.716469490199346
56.99999999999999,3.724484487398515
57.99999999999999,3.7327554384746215
59.0,3.741157963152838
60.0,3.7497499144943944
61.0,3.7584098896739366
62.0,3.7673110731388055
63.0,3.776307571965789
64.0,3.7854924467712614
65.0,3.7949134784177065
66.0,3.8045547519503313
67.0,3.8143540451197646
68.0,3.8242335307748916
69.0,3.834209308719627
70.0,3.84412212523664
71.0,3.853964329642195
72.0,3.86373811434387
73.0,3.873393014547586
74.0,3.882998589292988
75.0,3.8924990713853016
76.0,3.9020264061931593
77.0,3.9116383460046316
78.0,3.9212744546282887
79.0,3.9309473582951044
80.0,3.9407399152408256
81.0,3.9506476990802644
82.0,3.9605705668233746
83.0,3.9705890278715454
84.0,3.98066123048624
85.0,3.990937439663521
86.0,4.001266183125964
87.0,4.01168296243465
88.0,4.022309498287457
89.0,4.032961024963701
90.0,4.043796388233926
91.0,4.054805817746766
92.0,4.065951225091409
93.0,4.077341063260185
94.0,4.089031757121859
95.0,4.101143168926229
96.0,4.113941339835403
97.0,4.1274579445410575
98.0,4.14205647571653
99.0,4.158416549332272
100.0,4.2
